item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,107,3,1547.14,49.48
2,1,203,3,4188.07,47.02
3,1,116,1,3475.51,40.35
4,2,236,1,841.5,32.82
5,2,76,3,1681.15,7.58
6,2,194,2,3592.92,26.51
7,2,6,1,2881.62,27.95
8,2,90,2,4100.78,44.78
9,3,147,4,2128.69,43.28
10,3,230,2,3203.93,38.76
11,3,92,1,3227.69,24.53
12,3,145,1,1580.93,13.76
13,4,182,1,1345.63,30.94
14,4,257,4,424.88,25.45
15,4,153,1,4961.73,0.78
16,4,277,2,2886.56,23.59
17,4,293,5,1057.66,5.62
18,5,285,1,1921.55,28.54
19,5,113,4,3195.48,18.3
20,5,60,4,1580.73,48.69
21,6,85,2,3872.87,33.7
22,6,274,3,4707.67,20.72
23,7,20,3,2918.53,26.41
24,7,176,5,2626.91,14.46
25,7,288,3,3678.99,1.33
26,7,176,4,1347.37,7.44
27,8,252,4,3564.05,2.46
28,8,111,3,3608.28,49.23
29,8,203,5,3011.62,24.61
30,8,277,5,4070.21,20.03
31,9,230,5,1390.27,30.01
32,9,248,3,4401.81,45.73
33,10,126,4,1637.15,1.44
34,11,49,1,4215.36,13.77
35,11,32,4,1740.86,12.52
36,11,33,5,3382.69,35.22
37,11,278,1,978.84,16.29
38,12,130,2,1903.4,19.43
39,12,299,2,2938.04,32.71
40,12,279,2,3867.91,42.99
41,12,19,5,4775.18,34.31
42,13,39,1,415.3,19.38
43,13,185,4,1510.55,32.76
44,13,94,5,2756.72,43.01
45,13,222,1,761.01,30.14
46,14,262,3,4316.32,14.92
47,15,47,3,3030.35,0.59
48,15,164,2,3001.66,24.63
49,15,219,5,2611.51,21.37
50,16,129,2,3854.4,19.51
51,16,41,1,467.99,1.41
52,16,254,4,1680.16,19.73
53,16,238,1,743.6,14.94
54,16,298,2,1990.22,46.44
55,17,259,2,1444.8,4.7
56,17,92,5,1234.85,34.02
57,17,176,3,2991.77,0.04
58,18,216,5,2953.83,25.55
59,18,158,2,2784.61,1.79
60,18,98,1,3597.88,28.55
61,19,198,3,4671.57,6.4
62,19,269,4,3000.45,18.45
63,19,117,4,4431.58,2.17
64,19,19,5,1125.91,32.01
65,19,28,1,3599.56,22.34
66,20,172,2,3525.05,36.99
67,20,224,3,4860.02,18.97
68,20,55,1,4028.39,16.26
69,20,18,3,306.82,3.72
70,21,268,3,2849.84,16.84
71,21,170,1,1904.97,37.45
72,21,98,5,4867.93,35.2
73,21,299,3,2554.52,20.64
74,22,181,3,1285.37,31.39
75,23,135,1,568.86,16.32
76,23,268,4,468.76,16.52
77,23,40,4,629.64,13.12
78,23,171,5,2775.89,10.05
79,24,41,3,3614.9,18.25
80,24,173,5,4266.09,32.23
81,25,143,3,1268.36,23.79
82,25,166,3,931.51,11.74
83,25,2,1,4665.66,26.93
84,26,185,2,1869.36,49.76
85,26,290,3,3443.53,39.3
86,27,176,4,3259.22,15.77
87,27,232,2,993.84,26.69
88,28,12,4,221.26,15.66
89,28,274,4,4444.6,1.69
90,29,290,2,4048.48,15.65
91,29,211,2,2479.14,21.99
92,29,116,3,3296.92,8.07
93,30,186,3,2808.56,37.55
94,30,85,1,4835.76,0.04
95,31,6,5,2338.6,36.18
96,31,138,2,4655.35,41.72
97,32,214,3,2536.01,37.41
98,33,51,1,287.22,1.57
99,33,8,2,3461.69,25.61
100,33,65,2,1084.8,30.11
101,33,152,1,492.3,28.53
102,34,58,3,3197.69,38.27
103,35,188,5,1737.62,41.2
104,35,98,3,2958.42,10.63
105,36,98,4,2215.74,32.64
106,37,91,2,1844.74,4.86
107,37,2,5,1657.61,19.87
108,37,11,3,2315.46,10.05
109,38,93,3,2508.08,5.71
110,38,222,1,3363.83,47.24
111,38,68,2,3357.57,39.33
112,38,163,2,4589.33,100.0
113,38,200,4,1800.62,15.69
114,39,25,5,3854.31,19.97
115,39,176,3,4174.22,3.38
116,39,3,1,4149.18,40.59
117,39,194,4,3719.46,41.81
118,40,268,3,1246.27,47.97
119,40,192,3,4849.43,22.29
120,40,187,1,2973.55,26.64
121,40,166,5,4739.09,17.31
122,40,69,2,1486.29,5.34
123,41,70,2,4304.48,33.55
124,41,292,1,4666.18,9.05
125,41,208,3,4630.98,28.15
126,41,26,4,3843.62,48.38
127,41,37,1,1489.79,47.26
128,42,71,4,2743.78,16.21
129,42,92,5,1703.41,100.0
130,42,115,3,1890.93,14.8
131,42,118,1,4375.56,35.2
132,43,48,1,4194.41,32.8
133,43,257,5,4426.19,0.15
134,43,14,1,2888.79,0.09
135,44,15,1,4087.54,4.71
136,44,242,2,3037.04,36.78
137,45,230,5,4483.16,13.02
